# Arm joint positions collected at 50.0 Hz
# Timestamp: 20251029_213355
# Format: timestep, arm0.sh0, arm0.sh1, arm0.el0, arm0.el1, arm0.wr0, arm0.wr1, gripper_open_percentage

0, 0.000674, -3.118091, 3.138490, 1.564659, 0.001403, -1.568342, 0.006010
1, 0.000682, -3.118084, 3.138490, 1.564640, 0.001412, -1.568342, 0.006018
2, 0.000674, -3.118091, 3.138498, 1.564640, 0.001412, -1.568342, 0.006018
3, 0.000674, -3.118076, 3.138498, 1.564649, 0.001375, -1.568342, 0.006018
4, 0.000674, -3.118098, 3.138490, 1.564649, 0.001385, -1.568315, 0.006010
5, 0.000674, -3.118098, 3.138483, 1.564640, 0.001385, -1.568360, 0.005995
6, 0.000689, -3.118091, 3.138498, 1.564659, 0.001394, -1.568333, 0.006010
7, 0.000660, -3.118091, 3.138490, 1.564631, 0.001394, -1.568315, 0.006018
8, 0.000660, -3.118091, 3.138483, 1.564668, 0.001357, -1.568351, 0.006010
9, 0.000667, -3.118106, 3.138498, 1.564649, 0.001375, -1.568351, 0.006010
10, 0.000697, -3.118076, 3.138498, 1.564631, 0.001385, -1.568351, 0.006025
11, 0.000674, -3.118084, 3.138490, 1.564640, 0.001403, -1.568333, 0.005987
12, 0.000667, -3.118091, 3.138498, 1.564659, 0.001430, -1.568351, 0.006010
13, 0.000682, -3.118091, 3.138490, 1.564649, 0.001385, -1.568370, 0.006010
14, 0.000689, -3.118091, 3.138498, 1.564649, 0.001403, -1.568333, 0.006003
15, 0.000674, -3.118098, 3.138506, 1.564677, 0.001394, -1.568342, 0.006025
16, 0.000674, -3.118084, 3.138498, 1.564649, 0.001385, -1.568342, 0.006003
17, 0.000674, -3.118091, 3.138490, 1.564649, 0.001394, -1.568342, 0.006025
18, 0.000697, -3.118098, 3.138498, 1.564649, 0.001394, -1.568333, 0.005987
19, 0.000682, -3.118091, 3.138506, 1.564640, 0.001375, -1.568324, 0.005995
20, 0.000674, -3.118098, 3.138490, 1.564622, 0.001394, -1.568370, 0.005987
21, 0.000682, -3.118069, 3.138498, 1.564640, 0.001375, -1.568342, 0.006003
22, 0.000689, -3.118098, 3.138498, 1.564649, 0.001421, -1.568342, 0.006003
23, 0.000667, -3.118076, 3.138490, 1.564640, 0.001366, -1.568360, 0.006010
24, 0.000660, -3.118084, 3.138490, 1.564659, 0.001366, -1.568324, 0.006010
25, 0.000660, -3.118091, 3.138498, 1.564649, 0.001394, -1.568360, 0.005987
26, 0.000667, -3.118091, 3.138498, 1.564640, 0.001385, -1.568351, 0.006018
27, 0.000689, -3.118106, 3.138490, 1.564659, 0.001403, -1.568324, 0.006003
28, 0.000689, -3.118084, 3.138506, 1.564659, 0.001385, -1.568342, 0.005972
29, 0.000674, -3.118098, 3.138498, 1.564640, 0.001394, -1.568342, 0.006018
30, 0.000660, -3.118098, 3.138498, 1.564622, 0.001421, -1.568342, 0.006003
31, 0.000689, -3.118091, 3.138498, 1.564649, 0.001403, -1.568351, 0.006018
32, 0.000674, -3.118106, 3.138498, 1.564640, 0.001375, -1.568333, 0.006003
33, 0.000652, -3.118091, 3.138498, 1.564640, 0.001394, -1.568324, 0.006010
34, 0.000697, -3.118098, 3.138498, 1.564640, 0.001385, -1.568379, 0.006018
35, 0.000652, -3.118106, 3.138490, 1.564640, 0.001412, -1.568342, 0.005995
36, 0.000689, -3.118098, 3.138490, 1.564659, 0.001366, -1.568342, 0.005987
37, 0.000667, -3.118069, 3.138506, 1.564659, 0.001403, -1.568360, 0.005995
38, 0.000674, -3.118091, 3.138498, 1.564631, 0.001394, -1.568342, 0.006003
39, 0.000660, -3.118091, 3.138490, 1.564631, 0.001385, -1.568342, 0.005995
40, 0.000674, -3.118091, 3.138506, 1.564631, 0.001394, -1.568351, 0.006010
41, 0.000667, -3.118076, 3.138506, 1.564649, 0.001394, -1.568351, 0.006010
42, 0.000682, -3.118091, 3.138498, 1.564640, 0.001394, -1.568360, 0.006018
43, 0.000660, -3.118091, 3.138506, 1.564649, 0.001412, -1.568351, 0.006018
44, 0.000682, -3.118076, 3.138498, 1.564649, 0.001385, -1.568342, 0.005995
45, 0.000682, -3.118098, 3.138506, 1.564649, 0.001375, -1.568370, 0.006003
46, 0.000674, -3.118091, 3.138498, 1.564640, 0.001385, -1.568333, 0.006003
47, 0.000674, -3.118113, 3.138498, 1.564659, 0.001375, -1.568351, 0.005980
48, 0.000667, -3.118098, 3.138490, 1.564659, 0.001385, -1.568360, 0.005987
49, 0.000660, -3.118084, 3.138490, 1.564649, 0.001403, -1.568333, 0.006010
50, 0.000697, -3.118091, 3.138506, 1.564649, 0.001385, -1.568360, 0.006018
51, 0.000667, -3.118098, 3.138498, 1.564659, 0.001385, -1.568351, 0.005980
52, 0.000682, -3.118091, 3.138490, 1.564640, 0.001421, -1.568360, 0.006003
53, 0.000667, -3.118091, 3.138506, 1.564649, 0.001394, -1.568333, 0.006018
54, 0.000682, -3.118106, 3.138498, 1.564640, 0.001385, -1.568333, 0.006010
55, 0.000660, -3.118084, 3.138506, 1.564649, 0.001394, -1.568351, 0.006018
56, 0.000674, -3.118106, 3.138498, 1.564640, 0.001403, -1.568379, 0.006033
57, 0.000689, -3.118076, 3.138498, 1.564649, 0.001394, -1.568351, 0.005987
58, 0.000674, -3.118084, 3.138506, 1.564649, 0.001375, -1.568342, 0.006003
59, 0.000674, -3.118098, 3.138498, 1.564640, 0.001394, -1.568370, 0.006010
60, 0.000667, -3.118076, 3.138498, 1.564649, 0.001394, -1.568342, 0.006010
61, 0.000674, -3.118091, 3.138506, 1.564649, 0.001394, -1.568351, 0.006010
62, 0.000682, -3.118084, 3.138506, 1.564640, 0.001403, -1.568333, 0.006010
63, 0.000682, -3.118091, 3.138498, 1.564659, 0.001412, -1.568351, 0.006010
64, 0.000689, -3.118091, 3.138506, 1.564659, 0.001412, -1.568360, 0.005987
65, 0.000667, -3.118098, 3.138506, 1.564659, 0.001412, -1.568342, 0.006003
66, 0.000697, -3.118098, 3.138498, 1.564659, 0.001394, -1.568342, 0.006010
67, 0.000689, -3.118106, 3.138506, 1.564640, 0.001412, -1.568351, 0.006003
68, 0.000674, -3.118084, 3.138506, 1.564649, 0.001385, -1.568351, 0.006003
69, 0.000674, -3.118091, 3.138506, 1.564649, 0.001412, -1.568342, 0.006003
70, 0.000689, -3.118091, 3.138498, 1.564640, 0.001375, -1.568342, 0.005995
71, 0.000674, -3.118084, 3.138506, 1.564640, 0.001385, -1.568351, 0.006018
72, 0.000660, -3.118084, 3.138506, 1.564640, 0.001375, -1.568360, 0.006018
73, 0.000689, -3.118098, 3.138506, 1.564659, 0.001412, -1.568351, 0.006003
74, 0.000697, -3.118098, 3.138498, 1.564631, 0.001412, -1.568370, 0.006010
75, 0.000682, -3.118084, 3.138515, 1.564659, 0.001412, -1.568342, 0.005987
76, 0.000674, -3.118098, 3.138506, 1.564649, 0.001394, -1.568360, 0.006018
77, 0.000667, -3.118091, 3.138515, 1.564649, 0.001412, -1.568351, 0.006003
78, 0.000682, -3.118106, 3.138498, 1.564668, 0.001394, -1.568324, 0.006018
79, 0.000689, -3.118076, 3.138506, 1.564649, 0.001394, -1.568351, 0.006010
80, 0.000674, -3.118091, 3.138506, 1.564659, 0.001385, -1.568351, 0.005995
81, 0.000660, -3.118098, 3.138506, 1.564649, 0.001394, -1.568360, 0.006003
82, 0.000682, -3.118113, 3.138498, 1.564668, 0.001385, -1.568342, 0.006010
83, 0.000667, -3.118091, 3.138506, 1.564649, 0.001385, -1.568333, 0.006003
84, 0.000682, -3.118091, 3.138506, 1.564640, 0.001403, -1.568360, 0.005987
85, 0.000674, -3.118091, 3.138506, 1.564659, 0.001412, -1.568342, 0.005980
86, 0.000674, -3.118091, 3.138506, 1.564649, 0.001394, -1.568333, 0.006003
87, 0.000689, -3.118106, 3.138506, 1.564659, 0.001421, -1.568360, 0.005995
88, 0.000682, -3.118098, 3.138506, 1.564631, 0.001421, -1.568342, 0.005987
89, 0.000682, -3.118091, 3.138506, 1.564640, 0.001394, -1.568324, 0.005987
90, 0.000674, -3.118098, 3.138506, 1.564649, 0.001403, -1.568333, 0.006018
91, 0.000689, -3.118091, 3.138506, 1.564640, 0.001403, -1.568370, 0.006010
92, 0.000674, -3.118084, 3.138506, 1.564649, 0.001394, -1.568351, 0.006018
93, 0.000682, -3.118091, 3.138506, 1.564668, 0.001385, -1.568342, 0.006010
94, 0.000660, -3.118091, 3.138506, 1.564640, 0.001394, -1.568351, 0.006010
95, 0.000674, -3.118098, 3.138515, 1.564649, 0.001394, -1.568333, 0.006010
96, 0.000674, -3.118091, 3.138506, 1.564640, 0.001394, -1.568342, 0.006003
97, 0.000689, -3.118091, 3.138506, 1.564659, 0.001385, -1.568351, 0.006010
98, 0.000674, -3.118106, 3.138506, 1.564659, 0.001403, -1.568333, 0.005995
99, 0.000674, -3.118091, 3.138506, 1.564668, 0.001366, -1.568333, 0.006010
100, 0.000682, -3.118084, 3.138506, 1.564659, 0.001385, -1.568342, 0.005995
101, 0.000682, -3.118091, 3.138515, 1.564659, 0.001375, -1.568351, 0.006010
102, 0.000674, -3.118091, 3.138506, 1.564649, 0.001421, -1.568342, 0.005995
103, 0.000689, -3.118098, 3.138506, 1.564649, 0.001394, -1.568333, 0.005995
104, 0.000674, -3.118091, 3.138506, 1.564640, 0.001385, -1.568342, 0.006025
105, 0.000667, -3.118091, 3.138506, 1.564659, 0.001385, -1.568342, 0.005995
106, 0.000667, -3.118076, 3.138506, 1.564668, 0.001385, -1.568333, 0.006010
107, 0.000674, -3.118113, 3.138515, 1.564659, 0.001366, -1.568360, 0.005980
108, 0.000660, -3.118091, 3.138515, 1.564631, 0.001357, -1.568333, 0.006003
109, 0.000638, -3.117833, 3.138490, 1.564649, 0.001412, -1.568342, 0.006003
110, 0.000962, -3.113452, 3.134648, 1.564595, 0.001485, -1.568370, 0.005537
111, 0.000158, -3.101468, 3.125428, 1.564640, 0.001339, -1.568351, 0.006369
112, 0.000224, -3.081445, 3.109129, 1.564585, 0.001458, -1.568397, 0.005812
113, 0.000542, -3.053273, 3.085600, 1.564576, 0.001458, -1.568424, 0.005514
114, 0.000320, -3.026377, 3.062974, 1.564631, 0.001385, -1.568388, 0.005911
115, 0.000291, -2.986051, 3.031511, 1.564686, 0.001403, -1.568388, 0.006094
116, 0.000475, -2.929691, 2.990973, 1.564695, 0.001403, -1.568360, 0.006003
117, 0.000431, -2.882086, 2.959119, 1.564759, 0.001403, -1.568351, 0.005987
118, 0.000992, -2.828958, 2.922742, 1.564595, 0.000362, -1.567785, 0.005774
119, 0.001073, -2.776323, 2.886798, 1.555637, -0.009874, -1.556865, 0.006438
120, 0.000741, -2.739117, 2.862358, 1.537832, -0.022520, -1.538402, 0.006499
121, 0.000468, -2.709831, 2.846339, 1.511773, -0.033614, -1.512753, 0.007170
122, 0.000777, -2.686998, 2.838829, 1.474017, -0.045593, -1.474751, 0.006247
123, 0.000623, -2.676732, 2.842025, 1.426901, -0.055692, -1.428522, 0.006087
124, 0.000512, -2.677138, 2.850765, 1.378736, -0.065106, -1.380941, 0.006125
125, 0.000424, -2.680368, 2.862206, 1.324435, -0.076017, -1.326530, 0.006010
126, 0.000379, -2.683502, 2.875365, 1.253744, -0.086573, -1.256451, 0.005980
127, 0.000424, -2.684763, 2.888907, 1.164965, -0.097520, -1.166896, 0.005888
128, 0.000446, -2.685066, 2.896569, 1.099132, -0.105958, -1.101364, 0.005812
129, 0.000313, -2.685014, 2.904495, 1.004609, -0.117207, -1.006284, 0.005850
130, 0.000328, -2.684358, 2.910007, 0.900518, -0.128081, -0.902686, 0.005888
