# Arm joint positions + body pose collected at 50.0 Hz
# Timestamp: 20251117_225941
# Format: timestep, arm0.sh0, arm0.sh1, arm0.el0, arm0.el1, arm0.wr0, arm0.wr1, gripper_open_percentage, body_x, body_y, body_z, body_theta
# Body pose is in odom frame (x, y, z in meters, theta in radians)

0, 0.000652313232421875, -3.1185925006866455, 3.1387221813201904, 1.5608965158462524, -0.001902461051940918, -1.5673012733459473, 0.0, -1.7585335114796221, -5.384947281331783, -3.9531184027605284, -0.13449168115617027
1, 0.0006597042083740234, -3.118570327758789, 3.138730049133301, 1.5608782768249512, -0.0018842220306396484, -1.5672922134399414, 0.0, -1.7585401435607713, -5.384950167728414, -3.9531254441879233, -0.13450945397920488
2, 0.0006742477416992188, -3.1185925006866455, 3.138730049133301, 1.560887336730957, -0.0018477439880371094, -1.5673012733459473, 0.0, -1.758545291868389, -5.384955278476582, -3.9531287803210713, -0.13451117980185856
3, 0.0006597042083740234, -3.1185996532440186, 3.1387381553649902, 1.5608782768249512, -0.0018750429153442383, -1.5672922134399414, 0.0, -1.7585327364943035, -5.384958673535307, -3.953121257486659, -0.13449615182270236
4, 0.0006597042083740234, -3.1185848712921143, 3.1387381553649902, 1.5608782768249512, -0.0018750429153442383, -1.5673103332519531, 0.0, -1.7585368081196864, -5.3849725498654415, -3.9531246485894425, -0.13449076050366315
5, 0.0006668567657470703, -3.1185996532440186, 3.1387221813201904, 1.5608965158462524, -0.0018842220306396484, -1.5672831535339355, 0.0, -1.7585358328264844, -5.384972861041473, -3.9531274977286803, -0.1344917715162861
6, 0.0006668567657470703, -3.1185925006866455, 3.1387221813201904, 1.5608965158462524, -0.0018934011459350586, -1.567319393157959, 0.0, -1.7585235525851424, -5.384965482943886, -3.9531279517110938, -0.1345155086492582
7, 0.0006597042083740234, -3.1185925006866455, 3.1387221813201904, 1.560887336730957, -0.0018658638000488281, -1.5673012733459473, 0.0, -1.7585205132399284, -5.384973753060552, -3.953130176759621, -0.134519048346589
8, 0.0006375312805175781, -3.1185848712921143, 3.138730049133301, 1.5608782768249512, -0.0018842220306396484, -1.5673012733459473, 0.0, -1.7585151965417158, -5.38497572639864, -3.9531331451854625, -0.1345211092743437
9, 0.0006597042083740234, -3.1185925006866455, 3.1387221813201904, 1.5608690977096558, -0.0018568038940429688, -1.5672922134399414, 0.0, -1.7585005677435717, -5.38497652019005, -3.953125983454043, -0.1345311931261879
10, 0.0006818771362304688, -3.1185848712921143, 3.138730049133301, 1.560887336730957, -0.0018842220306396484, -1.5673012733459473, 0.0, -1.7585018861476722, -5.384980352795057, -3.953128261636413, -0.13452369627474248
11, 0.0006597042083740234, -3.1185848712921143, 3.1387381553649902, 1.5608782768249512, -0.0018568038940429688, -1.5673103332519531, 0.0, -1.7585091203940972, -5.384976148794397, -3.9531343057133976, -0.13450685326513412
12, 0.0006668567657470703, -3.118570327758789, 3.1387381553649902, 1.560887336730957, -0.0018842220306396484, -1.5672922134399414, 0.0, -1.7584956678606807, -5.3849796864203, -3.9531279247760147, -0.1345171155299827
13, 0.0006597042083740234, -3.1185925006866455, 3.138730049133301, 1.56086003780365, -0.0018658638000488281, -1.5673103332519531, 0.0, -1.7584982520031596, -5.384974992492507, -3.9531263073872145, -0.1345149962873835
14, 0.0006597042083740234, -3.1185925006866455, 3.138730049133301, 1.5608965158462524, -0.0018568038940429688, -1.5673012733459473, 0.0, -1.7584945125943843, -5.384980934439285, -3.9531349428986418, -0.13452245539036323
15, 0.0006742477416992188, -3.1185848712921143, 3.1387381553649902, 1.560887336730957, -0.0018934011459350586, -1.5673103332519531, 0.0, -1.7584827756634938, -5.384985471630439, -3.9531311753039473, -0.13452090913708403
16, 0.0006742477416992188, -3.1185925006866455, 3.1387221813201904, 1.560887336730957, -0.0018934011459350586, -1.5673012733459473, 0.0, -1.7584788664227244, -5.3849930610513175, -3.9531346192494223, -0.13451974944701828
17, 0.0006668567657470703, -3.1185925006866455, 3.138730049133301, 1.5608782768249512, -0.0019115209579467773, -1.5673012733459473, 0.0, -1.7584725192274373, -5.384992326866054, -3.9531338983667714, -0.13450956953127058
18, 0.0006742477416992188, -3.118577718734741, 3.138730049133301, 1.5608782768249512, -0.0018842220306396484, -1.567319393157959, 0.0, -1.758457432666385, -5.384993422946036, -3.953128345966892, -0.1345046173891591
19, 0.0006597042083740234, -3.1185925006866455, 3.138730049133301, 1.5608782768249512, -0.001902461051940918, -1.5673012733459473, 0.0, -1.7584548103566118, -5.384998961223655, -3.953134542591726, -0.13449705536459167
20, 0.0006818771362304688, -3.118577718734741, 3.138730049133301, 1.560887336730957, -0.0018568038940429688, -1.5673012733459473, 0.0, -1.758454918877332, -5.385000338394263, -3.9531361721523437, -0.13449382789049835
21, 0.0006597042083740234, -3.118577718734741, 3.1387381553649902, 1.5608782768249512, -0.0018658638000488281, -1.567319393157959, 0.0, -1.7584461600043062, -5.384999529033469, -3.953131144123076, -0.1344934115910501
22, 0.0006668567657470703, -3.1185925006866455, 3.1387460231781006, 1.5608782768249512, -0.0018842220306396484, -1.5673012733459473, 0.0, -1.7584506072339845, -5.384999992596763, -3.9531337896614516, -0.1344935225231616
23, 0.0006668567657470703, -3.1185848712921143, 3.138730049133301, 1.5608965158462524, -0.0018842220306396484, -1.5673012733459473, 0.0, -1.7584468424865163, -5.385005227833808, -3.953133731625933, -0.13451052222758442
24, 0.0006597042083740234, -3.1185848712921143, 3.138730049133301, 1.560887336730957, -0.0019115209579467773, -1.5673103332519531, 0.0, -1.7584309390745414, -5.385011660734529, -3.9531287827803956, -0.13450081923499368
25, 0.0006597042083740234, -3.1185848712921143, 3.1387381553649902, 1.560887336730957, -0.0018750429153442383, -1.5672922134399414, 0.0, -1.7584284920666977, -5.385015884660004, -3.9531346186178866, -0.13448257178141532
26, 0.000652313232421875, -3.11860728263855, 3.1387381553649902, 1.5608690977096558, -0.0018934011459350586, -1.5673103332519531, 0.0, -1.758426641977532, -5.385023968305388, -3.953135634788287, -0.13447236097327764
27, 0.000652313232421875, -3.1185925006866455, 3.1387381553649902, 1.5608965158462524, -0.0018934011459350586, -1.5673012733459473, 0.0, -1.7584207189460144, -5.385017005967478, -3.9531341068189088, -0.13447239070897865
28, 0.0006668567657470703, -3.1185925006866455, 3.138730049133301, 1.5608965158462524, -0.0018934011459350586, -1.567319393157959, 0.0, -1.758416278354393, -5.38501769584302, -3.95313612389245, -0.1344637353177811
29, 0.0006818771362304688, -3.1185848712921143, 3.1387381553649902, 1.5608965158462524, -0.0019115209579467773, -1.567319393157959, 0.0, -1.7583987555185276, -5.385014282537765, -3.9531347942528683, -0.13445768866050667
30, 0.0006375312805175781, -3.1185925006866455, 3.1387460231781006, 1.5609056949615479, -0.0018934011459350586, -1.567319393157959, 0.0, -1.758390599035369, -5.385009879334779, -3.9531354793343034, -0.13447408679488326
31, 0.0006597042083740234, -3.1185848712921143, 3.138730049133301, 1.56086003780365, -0.0018568038940429688, -1.5673103332519531, 0.0, -1.7583828940039805, -5.385011142064023, -3.953137738375623, -0.1344831607895074
32, 0.0006597042083740234, -3.1185925006866455, 3.1387381553649902, 1.5609056949615479, -0.0018568038940429688, -1.5673103332519531, 0.0, -1.7583776735627952, -5.385012384212796, -3.9531345222678564, -0.13448762915371848
33, 0.0006597042083740234, -3.11860728263855, 3.138730049133301, 1.560887336730957, -0.0018842220306396484, -1.567319393157959, 0.0, -1.758382057689217, -5.385011894712689, -3.9531364538781517, -0.13447731426955833
34, 0.0006742477416992188, -3.118577718734741, 3.1387381553649902, 1.560887336730957, -0.0018568038940429688, -1.5673012733459473, 0.0, -1.7583684845902312, -5.3850129602971, -3.9531325890667306, -0.13448256492350907
35, 0.0006597042083740234, -3.1185925006866455, 3.138730049133301, 1.5608965158462524, -0.001902461051940918, -1.5672922134399414, 0.0, -1.758357760389773, -5.385010384233263, -3.9531359234409202, -0.13445647064506439
36, 0.0006818771362304688, -3.1185925006866455, 3.138730049133301, 1.560887336730957, -0.0018842220306396484, -1.567319393157959, 0.0, -1.7583603453463312, -5.385005999399795, -3.953138494947907, -0.13447596930475658
37, 0.0006742477416992188, -3.1185925006866455, 3.1387381553649902, 1.5608965158462524, -0.0018658638000488281, -1.5672831535339355, 0.0, -1.7583470006836677, -5.385007607851163, -3.9531353636121835, -0.13447295798906733
38, 0.0006449222564697266, -3.1185925006866455, 3.1387381553649902, 1.5608965158462524, -0.0018477439880371094, -1.567319393157959, 0.0, -1.7583221856091784, -5.385020781437066, -3.9531338599796406, -0.1344991872350496
