# Arm joint positions + body pose collected at 100.0 Hz
# Timestamp: 20251118_130129
# Format: timestep, timestamp_utc, arm0.sh0, arm0.sh1, arm0.el0, arm0.el1, arm0.wr0, arm0.wr1, gripper_open_percentage, body_x, body_y, body_z, body_theta
# Body pose is in odom frame (x, y, z in meters, theta in radians)

0, 1763488889.230842, -0.017389297, -0.768199603, 2.154361725, 0.029295762, -1.420980692, -0.019462824, 0.960123800, 0.167002931, -5.361854474, -4.083730478, -0.194839373
1, 1763488889.262016, -0.017384370, -0.768192212, 2.154367129, 0.029298862, -1.420989831, -0.019453843, 0.960111033, 0.167003637, -5.361856874, -4.083728637, -0.194819666
2, 1763488889.285043, -0.017386913, -0.768197139, 2.154367129, 0.029298782, -1.420971632, -0.019456784, 0.960113576, 0.166991157, -5.361858083, -4.083733793, -0.194817501
3, 1763488889.309242, -0.017384211, -0.768202066, 2.154364427, 0.029298782, -1.420977672, -0.019466003, 0.960128886, 0.166988183, -5.361856122, -4.083730523, -0.194820665
4, 1763488889.3388622, -0.017381907, -0.768201987, 2.154364427, 0.029295762, -1.420962493, -0.019472043, 0.960131404, 0.166990207, -5.361857864, -4.083732891, -0.194809637
5, 1763488889.368139, -0.017386913, -0.768199523, 2.154364427, 0.029298862, -1.420965592, -0.019469023, 0.960131454, 0.166990336, -5.361857362, -4.083732416, -0.194806001
6, 1763488889.393386, -0.017384370, -0.768197060, 2.154361725, 0.029308081, -1.420971632, -0.019466003, 0.960113576, 0.166996131, -5.361857300, -4.083730668, -0.194820222
7, 1763488889.4159858, -0.017379284, -0.768201987, 2.154367129, 0.029301882, -1.420968612, -0.019462824, 0.960116145, 0.166990198, -5.361867408, -4.083733092, -0.194830812
8, 1763488889.446141, -0.017386754, -0.768204451, 2.154364427, 0.029298782, -1.420968533, -0.019459883, 0.960133972, 0.166980623, -5.361864887, -4.083733825, -0.194823647
9, 1763488889.479928, -0.017384370, -0.768209279, 2.154361725, 0.029308001, -1.420971632, -0.019447645, 0.960128860, 0.166983471, -5.361866067, -4.083735091, -0.194801513
10, 1763488889.503264, -0.017386754, -0.768199503, 2.154367129, 0.029301882, -1.420983791, -0.019466003, 0.960128886, 0.166977312, -5.361860798, -4.083730735, -0.194791946
11, 1763488889.530593, -0.017379363, -0.768197139, 2.154364427, 0.029301961, -1.420971553, -0.019456863, 0.960123800, 0.166969962, -5.361851604, -4.083736460, -0.194792411
12, 1763488889.560184, -0.017386754, -0.768201987, 2.154369831, 0.029292742, -1.420962413, -0.019459883, 0.960128886, 0.166973035, -5.361853951, -4.083736575, -0.194799965
13, 1763488889.584911, -0.017386675, -0.768214107, 2.154364427, 0.029289643, -1.420980692, -0.019466003, 0.960123774, 0.166971689, -5.361846071, -4.083736398, -0.194804145
14, 1763488889.613343, -0.017381827, -0.768211822, 2.154361804, 0.029298862, -1.420971553, -0.019465923, 0.960131404, 0.166971100, -5.361857961, -4.083736529, -0.194805000
15, 1763488889.63676, -0.017386754, -0.768199523, 2.154367129, 0.029311101, -1.420956373, -0.019456784, 0.960121231, 0.166975333, -5.361858772, -4.083736539, -0.194808185
16, 1763488889.666906, -0.017386754, -0.768204431, 2.154367129, 0.029301882, -1.420968612, -0.019453764, 0.960128911, 0.166973485, -5.361846279, -4.083737082, -0.194809707
17, 1763488889.690604, -0.017384211, -0.768204510, 2.154367129, 0.029298862, -1.420959393, -0.019468943, 0.960123800, 0.166968824, -5.361839542, -4.083737580, -0.194801276
18, 1763488889.712576, -0.017386913, -0.768192212, 2.154364506, 0.029304981, -1.420968612, -0.019441605, 0.960128886, 0.166970113, -5.361838835, -4.083737917, -0.194782850
19, 1763488889.740376, -0.017384211, -0.768199603, 2.154367129, 0.029295762, -1.420983712, -0.019466003, 0.960139033, 0.166972492, -5.361843620, -4.083739440, -0.194788593
20, 1763488889.793062, -0.017389297, -0.768199603, 2.154367129, 0.029301882, -1.420968612, -0.019450823, 0.960121257, 0.166974813, -5.361840720, -4.083739554, -0.194799662
21, 1763488889.816721, -0.017386913, -0.768204371, 2.154359102, 0.029295762, -1.420977672, -0.019472043, 0.960121257, 0.166978133, -5.361840140, -4.083741224, -0.194802530
22, 1763488889.8415082, -0.017391682, -0.768199603, 2.154361725, 0.029308081, -1.420965513, -0.019456863, 0.960123800, 0.166976083, -5.361833784, -4.083736346, -0.194804026
23, 1763488889.86918, -0.017379363, -0.768201987, 2.154359182, 0.029292742, -1.420965592, -0.019472043, 0.960131429, 0.166975249, -5.361836282, -4.083739205, -0.194800466
24, 1763488889.893077, -0.017386913, -0.768197139, 2.154364506, 0.029308001, -1.420965592, -0.019459963, 0.960126343, 0.166971866, -5.361831163, -4.083739326, -0.194792169
25, 1763488889.91596, -0.017384370, -0.768206815, 2.154359102, 0.029301882, -1.420977672, -0.019456863, 0.960133998, 0.166967198, -5.361824601, -4.083742137, -0.194805268
26, 1763488889.943988, -0.017394145, -0.768197139, 2.154375235, 0.029298862, -1.420974652, -0.019469023, 0.960121257, 0.166970442, -5.361830443, -4.083739944, -0.194813538
27, 1763488889.971803, -0.017386754, -0.768201987, 2.154364427, 0.029301882, -1.420983712, -0.019459883, 0.960128911, 0.166962778, -5.361830663, -4.083741468, -0.194834210
28, 1763488889.998303, -0.017386913, -0.768204371, 2.154369831, 0.029308001, -1.420962493, -0.019462903, 0.960126343, 0.166961365, -5.361830387, -4.083742393, -0.194846731
