# Arm joint positions + body pose collected at 100.0 Hz
# Timestamp: 20251118_144535
# Format: timestep, timestamp_utc, arm0.sh0, arm0.sh1, arm0.el0, arm0.el1, arm0.wr0, arm0.wr1, gripper_open_percentage, body_x, body_y, body_z, body_yaw, body_roll, body_pitch
# Body pose: x, y, z in odom frame (meters), yaw/roll/pitch (EulerZXY) in radians for SE2 and footprint_R_body

0, 1763495135.503792, 0.000718594, -3.118830999, 3.139001846, 1.560744325, -0.002170205, -1.568387985, 0.023201704, 0.444602327, -5.530649543, -4.263495029, -0.077671195, 0.003699813, 0.013321184
1, 1763495135.538801, 0.000711203, -3.118830999, 3.138996442, 1.560741345, -0.002170126, -1.568384965, 0.023194055, 0.444615669, -5.530641492, -4.263493651, -0.077651872, 0.003703065, 0.013334200
2, 1763495135.579666, 0.000713666, -3.118835926, 3.138999144, 1.560747425, -0.002176285, -1.568378925, 0.023196578, 0.444611726, -5.530645675, -4.263495485, -0.077637887, 0.003691114, 0.013324443
3, 1763495135.637849, 0.000716289, -3.118840774, 3.139001767, 1.560738246, -0.002173185, -1.568372885, 0.023191531, 0.444612018, -5.530640877, -4.263497706, -0.077613732, 0.003689280, 0.013311612
4, 1763495135.675783, 0.000716130, -3.118835926, 3.139001846, 1.560747385, -0.002179305, -1.568387985, 0.023199141, 0.444607699, -5.530631075, -4.263497401, -0.077589430, 0.003680094, 0.013286175
5, 1763495135.7185102, 0.000721057, -3.118828535, 3.138999144, 1.560747425, -0.002173265, -1.568375746, 0.023199141, 0.444604961, -5.530625970, -4.263498937, -0.077587153, 0.003663040, 0.013283298
6, 1763495135.7515929, 0.000701427, -3.118830999, 3.138999144, 1.560750484, -0.002188444, -1.568387985, 0.023196618, 0.444611896, -5.530616441, -4.263496352, -0.077585265, 0.003657083, 0.013285206
7, 1763495135.792174, 0.000723600, -3.118835847, 3.139001846, 1.560738246, -0.002179305, -1.568369706, 0.023191492, 0.444604361, -5.530618001, -4.263497536, -0.077597349, 0.003651291, 0.013264807
8, 1763495135.823957, 0.000711203, -3.118821144, 3.139004469, 1.560750445, -0.002167106, -1.568384965, 0.023196578, 0.444603594, -5.530611100, -4.263496808, -0.077600004, 0.003639415, 0.013259686
9, 1763495135.8551402, 0.000711282, -3.118838390, 3.139004469, 1.560750405, -0.002164086, -1.568394025, 0.023194055, 0.444603548, -5.530612355, -4.263499055, -0.077593581, 0.003646971, 0.013264434
10, 1763495135.906695, 0.000716130, -3.118835926, 3.139001846, 1.560741305, -0.002194564, -1.568387985, 0.023181319, 0.444602760, -5.530621256, -4.263498027, -0.077611638, 0.003655207, 0.013249229
11, 1763495135.9372091, 0.000713666, -3.118835926, 3.139001846, 1.560741305, -0.002173225, -1.568372726, 0.023201664, 0.444600490, -5.530607984, -4.263497410, -0.077596005, 0.003641716, 0.013241557
12, 1763495135.977071, 0.000713666, -3.118838310, 3.139001846, 1.560744365, -0.002182444, -1.568384965, 0.023194055, 0.444603474, -5.530611736, -4.263496402, -0.077605363, 0.003640308, 0.013232549
13, 1763495136.025528, 0.000711203, -3.118830999, 3.139001846, 1.560747425, -0.002176245, -1.568381945, 0.023191492, 0.444612293, -5.530598526, -4.263495202, -0.077607882, 0.003626386, 0.013240799
14, 1763495136.0574741, 0.000713666, -3.118833462, 3.138999144, 1.560747425, -0.002179344, -1.568387985, 0.023186405, 0.444606853, -5.530596561, -4.263498565, -0.077620224, 0.003626110, 0.013232443
15, 1763495136.119457, 0.000713666, -3.118835926, 3.139001846, 1.560756564, -0.002191464, -1.568366528, 0.023199141, 0.444613781, -5.530592200, -4.263498952, -0.077607728, 0.003613930, 0.013239323
16, 1763495136.154241, 0.000708739, -3.118833462, 3.139001767, 1.560744365, -0.002173225, -1.568381945, 0.023196578, 0.444622333, -5.530584289, -4.263498296, -0.077609021, 0.003604873, 0.013238844
17, 1763495136.1922188, 0.000708818, -3.118833462, 3.139001846, 1.560750484, -0.002182364, -1.568384965, 0.023194055, 0.444612686, -5.530584329, -4.263500421, -0.077615538, 0.003598205, 0.013219832
18, 1763495136.223001, 0.000691732, -3.118830999, 3.138999144, 1.560750445, -0.002170165, -1.568391005, 0.023201664, 0.444613039, -5.530587275, -4.263500454, -0.077610666, 0.003610526, 0.013218245
